ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
3,73959.6,1009039,WPX Energy Permian LLC,0.6,2022,968.6948913,1000SCF,diesel,COMB_engine>1MMBTU/hr
7.86,7144.2,1012030,Houston Counties Oil and Gas Production Facilities,0.013,2018,108074.605,1000SCF,field_process_gas,COMB_compressor-driver
7.40E+00,10384.1,1007482,ConocoPhillips' Williston (395),0.018,2023,125847.61,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
6.52,160780.8,1008527,"Chesapeake Operating LLC, 230 - Arkla Basin",1.304,2022,2105.844882,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.93,22893.9,1008530,Tapstone 360 - Anadarko Basin,0.19,2018,299.8557235,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.13,3215,1013026,Hinkle Oil & Gas Inc.,0.00E+00,2021,42.10937501,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.05,2911.5,1008538,"Chesapeake Operating LLC, 515 - Powder River Basin",0.005,2016,53482.19,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
18.44,18426.2,1010372,BATTALION OIL CORP,0.033,2019,258277.9506,1000SCF,field_process_gas,COMB_compressor-driver
1.51,37153.9,1013377,Lime Rock Resources Pecos Valley,0.301,2019,486.6274342,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,0.7,1008673,"EXCO Resources (PA), LLC - Basin 160A",0.00E+00,2015,13.68,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
3.21E+00,1843.4,1009511,"Alta Mesa Services, LP",0.005,2016,44504.6,1000SCF,field_process_gas,COMB_compressor-driver
0.54,13291.7,1008086,"Uinta Wax Operating, LLC",0.108,2019,174.0891129,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.19,29275.1,1011450,Jonah Energy LLC_AAPG 535_Green River Basin,0.238,2017,383.4337987,1000SCF,diesel,COMB_engine>1MMBTU/hr
